Id;FirstName;LastName;City
2968;Aaron;Aaberg;Sao Paolo
3016;Aaron;Aaby;Sidney
1244;Abbey;Aadland;Berlin
1219;Abbie;Aagaard;Vancouver
1055;Abby;Aakre;Vancouver
3264;Abdul;Aaland;Vienna
1777;Abe;Aalbers;Rome
2634;Abel;Aalderink;Rome
2353;Abigail;Aalund;Johannesburg
4995;Abraham;Aamodt;Linz
4201;Abram;Aamot;Nairobi
2277;Ada;Aanderud;Lisbon
2704;Adah;Aanenson;Vienna
3378;Adalberto;Aanerud;Stockholm
4048;Adaline;Aarant;New York
4468;Adam;Aardema;Sao Paolo
4939;Adam;Aarestad;Stockholm
1856;Adan;Aarhus;Berlin
645;Addie;Aaron;Bejing
1804;Adela;Aarons;Rome
4776;Adelaida;Aaronson;Bangalore
5356;Adelaide;Aarsvold;Berlin
2025;Adele;Aas;Paris
2471;Adelia;Aasby;Soul
4600;Adelina;Aase;Sidney
841;Adeline;Aasen;Buenos Aires
1187;Adell;Aavang;New York
1477;Adella;Abad;Los Angeles
4485;Adelle;Abadi;Buenos Aires
118;Adena;Abadie;Tokyo
1979;Adina;Abair;Sidney
1755;Adolfo;Abaja;Kairo
3411;Adolph;Abajian;Berlin
1564;Adria;Abalos;Berlin
1486;Adrian;Abaloz;Stockholm
4012;Adrian;Abar;Kinshasa
1714;Adriana;Abarca;Lisbon
1944;Adriane;Abare;Vienna
946;Adrianna;Abascal;Wels
5194;Adrianne;Abasta;Lisbon
4237;Adrien;Abate;Bejing
1487;Adriene;Abati;Nairobi
1324;Adrienne;Abatiell;Buenos Aires
1226;Afton;Abato;London
616;Agatha;Abatti;New York
1790;Agnes;Abaunza;Bangalore
1478;Agnus;Abaya;Wels
3447;Agripina;Abbadessa;Johannesburg
3989;Agueda;Abbamonte;London
4592;Agustin;Abbas;Vienna
4382;Agustina;Abbasi;Vancouver
2206;Ahmad;Abbassi;Buenos Aires
305;Ahmed;Abbate;Johannesburg
2705;Ai;Abbatiello;London
1009;Aida;Abbay;San Francisco
2717;Aide;Abbe;Los Angeles
903;Aiko;Abbed;San Francisco
61;Aileen;Abbenante;Bangalore
1780;Ailene;Abbey;Nairobi
5257;Aimee;Abbinanti;Johannesburg
5098;Aisha;Abbington;Bangalore
513;Aja;Abbitt;Kinshasa
1960;Akiko;Abbot;Toronto
4759;Akilah;Abbott;Wels
1567;Al;Abboud;Stockholm
3642;Alaina;Abbruzzese;Bangalore
382;Alaine;Abbs;Lisbon
1157;Alan;Abby;Buenos Aires
3244;Alana;Abdalla;Johannesburg
4752;Alane;Abdallah;Johannesburg
910;Alanna;Abdel;Kairo
2734;Alayna;Abdelal;Bejing
3900;Alba;Abdelaziz;Toronto
933;Albert;Abdeldayen;London
4389;Albert;Abdelhamid;London
2117;Alberta;Abdella;New York
927;Albertha;Abdelmuti;Stockholm
745;Albertina;Abdelrahman;Kinshasa
76;Albertine;Abdelwahed;Tokyo
3468;Alberto;Abdi;Vienna
4291;Albina;Abdin;Kinshasa
3154;Alda;Abdo;London
2195;Alden;Abdon;Linz
2806;Aldo;Abdool;New York
4292;Alease;Abdou;Kairo
2883;Alec;Abdul;Kairo
452;Alecia;Abdula;Montreal
4109;Aleen;Abdulaziz;Johannesburg
4656;Aleida;Abdulkarim;Rome
2374;Aleisha;Abdulla;London
4980;Alejandra;Abdullah;Stockholm
386;Alejandrina;Abdullai;Linz
1272;Alejandro;Abdulmateen;Rome
2841;Alena;Abdulmuniem;Barcelona
967;Alene;Abdur;Berlin
265;Alesha;Abe;Vancouver
1367;Aleshia;Abeb;London
3412;Alesia;Abed;Rome
3822;Alessandra;Abedelah;Berlin
994;Aleta;Abedi;Bejing
3643;Aletha;Abee;Johannesburg
534;Alethea;Abegg;Bejing
